"CR","Tracking #","Target DB","Migrated On","Migrated By","CR Type"
"CR014121","HRS-60340","HRS","08/24/2021  8:13:28AM","00379213","CODE"
"CR014122","HRS-60286","HRS","09/05/2021  8:22:06AM","00379213","CODE"
"CR014124","HRS-60112","HRS","09/02/2021 11:21:57AM","00274593","CODE"
"CR014128","HRS-60353","HRS","11/29/2021  4:59:27PM","00379213","SCRT"
"CR014130","HRS-60354","HRS","09/01/2021  5:17:29PM","00274593","CODE"
"CR014130","HRS-60354","HRS","09/01/2021  7:35:25PM","00274593","CODE"
"CR014130","HRS-60354","HRS","11/14/2021 10:13:15AM","00379213","CODE"
"CR014136","HRS-60085","HRS","09/24/2021  4:31:39PM","00274593","CODE"
"CR014138","HRS-60071","HRS","10/18/2021  4:30:30PM","00274593","CODE"
"CR014139","HRS-60347","HRS","10/03/2021  8:13:17AM","00274593","CODE"
"CR014140","HRS-60374","HRS","09/01/2021  6:59:34AM","00150774","CODE"
"CR014143","HRS-60342","HRS","09/05/2021  8:22:22AM","00379213","CODE"
"CR014146","HRS-60399","HRS","09/05/2021  8:22:35AM","00379213","CODE"
"CR014147","HRS-60404","HRS","09/01/2021 10:37:30AM","00274593","CODE"
"CR014148","HRS-60035","HRS","10/18/2021  4:30:19PM","00274593","CODE"
"CR014149","HRS-60379","HRS","09/13/2021  9:41:25AM","00379213","CODE"
"CR014153","HRS-60371","HRS","09/05/2021  8:22:26AM","00379213","CODE"
"CR014154","HRS-58662","HRS","10/18/2021  4:30:11PM","00274593","CODE"
"CR014155","HRS-60375","HRS","09/05/2021  8:22:31AM","00379213","CODE"
"CR014156","HRS-60401","HRS","10/07/2021  2:22:40PM","00274593","SCRT"
"CR014158","HRS-60426","HRS","09/03/2021  1:30:16AM","00274593","CODE"
"CR014164","HRS-60412","HRS","10/03/2021  8:13:42AM","00274593","CODE"
"CR014168","HRS-59948","HRS","10/03/2021  8:01:37AM","00274593","CODE"
"CR014169","HRS-60378","HRS","11/01/2021  4:40:33PM","00274593","CODE"
"CR014170","HRS-60320","HRS","09/24/2021  4:31:59PM","00274593","CODE"
"CR014173","HRS-60422","HRS","10/18/2021  4:30:40PM","00274593","CODE"
"CR014177","HRS-53824","HRS","10/03/2021  8:00:36AM","00274593","CODE"
"CR014179","HRS-60448","HRS","09/10/2021  1:14:40PM","00379213","CODE"
"CR014185","HRS-60385","HRS","10/03/2021  8:13:38AM","00274593","CODE"
